account_name,created_at,display_name,friends_count,language,location,user_id
_briannadavis_,Mon Aug 04 20:11:26 +0000 2014,Bri,799,en,Texas State University ,2733572937
davidk30,Mon Dec 21 09:29:13 +0000 2009,David Killy,881,en,Waterford / Dublin,98334972
katiefust26,Sat Nov 09 18:58:21 +0000 2013,katie fust,320,en,Rochester // Marquette ,2184871669
jackie_sapienza,Mon Dec 22 21:47:19 +0000 2014,jackie,294,en,not given,2937583516
mckiser93,Thu Jul 15 00:47:52 +0000 2010,Madison Kiser,481,en,not given,166790802
cantschaapme,Fri Jun 21 19:01:33 +0000 2013,Cammy Schaap,809,en,not given,1537114374
KayliFusarini,Fri Oct 28 00:53:17 +0000 2011,kayli,313,en,not given,399770787
soren_flyinnn,Tue Jul 22 22:26:46 +0000 2014,Soren,150,en,NM/MN,2670853807
abrie_angelface,Tue Dec 28 13:27:54 +0000 2010,abriana moyer 🌐,244,en,Pennsylvania,231420018
ashlyntwerk,Tue Jan 25 01:01:58 +0000 2011,ash ♥,292,en,not given,242540715
LSchwabauer,Sun Nov 03 18:10:43 +0000 2013,Schwabby,243,en,not given,2172573205
tamponwthwings,Thu Aug 08 19:35:44 +0000 2013,audriana,561,en,"Minneapolis, MN",1656084541
nataliesw33t,Sun Jul 14 23:10:43 +0000 2013,Natalie,298,en,"Knoxville, TN",1594482913
baybaxendale,Sat Feb 12 18:41:13 +0000 2011,Bailey Baxendale,690,en,not given,251237894
breightysucks,Thu Feb 24 05:35:13 +0000 2011,bj,335,en,not given,256847043
Meghan__22,Thu May 01 00:13:36 +0000 2014,meg pellett,377,en,not given,2471668920
MaggieMcCarron1,Fri Jul 29 00:04:44 +0000 2011,Maggie McCarron,283,en,"Antigonish, Nova Scotia",344381488
majjjjah,Fri Apr 03 02:03:12 +0000 2009,meya,99,en,Makati,28476761
madisonmcd3,Wed Jun 17 21:24:44 +0000 2009,Madison McDaniel,304,en,not given,48122115
AltoEnPointe,Wed Dec 09 15:44:48 +0000 2015,Gabrielle Morris,133,en,not given,4508703152
nickyturza,Thu Jun 09 07:17:12 +0000 2011,Nicky Turza,114,en,not given,313802028
carcaraud,Sun Jun 19 07:33:12 +0000 2011,Carson,247,en,not given,320070553
justjoeysmusic,Sun Jul 10 23:44:02 +0000 2011,Just Joey,365,en,"San Jose, CA",333089502
moranelgober,Sat Nov 05 23:45:46 +0000 2011,moranel,326,en,not given,405900090
Marleeee10,Sun Jun 02 02:19:11 +0000 2013,☻marlee richardson,378,en,not given,1476151032
ErrdayImShovlin,Sun Sep 11 22:52:27 +0000 2011,shovlin,421,en,Pittsburgh ,371998790
adambamonti,Mon Aug 29 22:32:10 +0000 2011,Adam,191,en,not given,364525404
alexwalker99,Sun May 04 20:36:45 +0000 2014,alex,956,en,"Mustang, OK",2529082019
deptofhighfives,Thu Feb 12 17:31:37 +0000 2009,What’s the wifi password?,1896,en,Toronto,20695857
oliviapelh,Mon May 30 04:13:12 +0000 2016,Olivia Pelham,193,en,904,737134739602214912
Bailey_Boulter,Mon Mar 05 23:35:28 +0000 2012,Bailey Boulter,143,en,not given,515979339
surfmesa,Wed Oct 01 21:21:21 +0000 2014,Powell Aguirre,112,en,"Seattle, WA",2837221675
MirandaTelmanik,Mon Sep 28 00:58:04 +0000 2009,Miranda Telmanik,257,en,not given,77882127
Reagan_Lax,Tue May 28 01:34:34 +0000 2013,Buzzed in the Tub,441,en,not given,1463578645
jeannetto,Wed Nov 19 13:47:27 +0000 2008,Jeannetto,280,en,"Portland, OR",17485951
haileysmith05,Thu Aug 13 02:50:59 +0000 2015,Hails,239,en,not given,3419305043
ChrisShut,Wed Feb 17 23:06:31 +0000 2010,Chris Shuttlesworth,336,en,"Richmond, CA",115200925
hannah_buege,Tue Apr 06 02:21:52 +0000 2010,Hannah Buege,493,en,"Menomonee Falls, Wisconsin",130016130
aimdogg,Mon Jun 28 18:08:09 +0000 2010,Aime,504,en,Earth,160624319
KatherineNewsom,Thu Jan 15 22:28:22 +0000 2009,Katherine Newsom,232,en,"Memphis, TN",19042532
MarloMeekins,Tue Jan 27 07:27:33 +0000 2009,Marlo Meekins,1852,en,"Los Angeles, CA",19581528
TayFayFisch,Mon Oct 17 04:39:45 +0000 2011,Taylor Fischer,735,en,"Kent, OH",392511162
heyedward,Mon Jan 10 05:18:08 +0000 2011,Edward Diaz,85,en,"Houston, Tx",236262337
kelcieofsealand,Wed Mar 02 18:39:53 +0000 2011,bakugou off i guess,163,en,Shrimp Heaven ||-//,259851451
StevieNoyes123,Sat Dec 22 18:33:41 +0000 2012,Stevie,286,en,not given,1029035342
steph_497,Wed Sep 24 15:03:31 +0000 2014,Stephanie,261,en,not given,2782523145
megmil928,Sun Jul 18 17:19:44 +0000 2010,meghan miller,378,en,"Fairfield, Ohio",168192723
RachKeneally,Wed Aug 17 02:30:29 +0000 2011,˗ˏˋ rachael ˎˊ˗,885,en,belmont university '20★,356589597
OhMyKrista,Mon Sep 26 20:52:43 +0000 2011,Krista,181,en,"Ohio, USA",380551019
tenncynvin,Tue Apr 21 13:16:33 +0000 2009,Cynthia,428,en,"memphis, tennessee",33899023
slowdawning,Sat Mar 14 12:09:27 +0000 2009,Dawn,380,en,"Orlando, FL",24360136
MarkHess98,Wed Sep 15 00:35:57 +0000 2010,Mark Hess,1481,en,"Michigan, USA",190854421
ashleyspag,Sat Oct 13 16:06:33 +0000 2012,ash,419,en,not given,878150360
OhItsVic,Sun Jan 23 02:26:25 +0000 2011,victoria,156,en,not given,241757766
heather2846,Fri Aug 05 17:59:41 +0000 2011,Heather Young,121,en,not given,349182509
Drennan_Sean,Sat May 23 13:49:29 +0000 2009,sean drennan,502,en,"Charleston, SC",42028384
haleyYAYgrr,Wed May 04 02:08:12 +0000 2011,haley™️,742,en,"omaha, nebraska",292689503
MattiBorchers,Sun Aug 24 10:48:42 +0000 2014,Mattias Brennecke,42,de,"Peine, Deutschland",2762050136
kirstenmaried,Thu May 08 02:24:26 +0000 2014,Kirsten Davis,157,en,not given,2534580765
caseydepalma,Mon Jul 05 22:26:32 +0000 2010,casey depalma,379,en,long island,163236920
cooper_joerger,Sun Feb 07 23:13:47 +0000 2016,Cooper Joerger,405,en,"Omaha, NE",4875791130
loagtoad,Tue Feb 15 04:23:44 +0000 2011,Łøgåñ,293,en,"Merritt Island, FL",252417534
ErinLPeters,Sat Sep 01 01:24:55 +0000 2012,Erin,396,en,not given,795052568
Tattytats,Fri Mar 05 21:13:08 +0000 2010,Tatjana Pasalic,105,en,"Midwest, USA",120225476
sarah_teeter,Sun Mar 02 03:17:06 +0000 2014,Sarah,441,en,not given,2368174958
teddysbeers,Sun Oct 28 14:35:16 +0000 2012,teddy,214,fr,"Killarney, Kerry, Ireland",910423758
lanepowell10,Fri Jan 30 15:04:09 +0000 2015,Lane Powell,205,en,not given,3005749049
chris_sadler8,Mon Sep 09 21:07:56 +0000 2013,Krispy Kreme,654,en,not given,1849466905
nickishandsome,Mon Nov 01 03:18:23 +0000 2010,MisterDance 🦄🦄🦄,271,en,not given,210697187
miragonz,Tue Feb 09 01:03:11 +0000 2010,Mira Gonzalez,330,en,"Los Angeles, CA",112581391
robkugler,Tue Feb 09 04:06:48 +0000 2010,Robert Kugler,495,en,United States,112617341
400luxali,Tue Mar 03 01:28:06 +0000 2015,ali,199,en,"Colorado, USA",3058962973
bpweller,Wed Nov 06 22:53:51 +0000 2013,brooklyn 🐶,240,en,Milky Way Galaxy,2178929497
bpweller,Wed Nov 06 22:53:51 +0000 2013,brooklyn 🐶,240,en,Milky Way Galaxy,2178929497
VictoriaLynn358,Mon Dec 03 22:03:24 +0000 2012,Victoria Stiner,211,en,not given,987506298
juliakite,Tue Dec 09 15:48:09 +0000 2008,Julia Kite,1218,en,New York City,17993644
wendyannwilson_,Sun Mar 17 07:24:26 +0000 2013,Wendy Wilson,132,en,"Puyallup, WA",1274298626
cwage,Tue May 29 18:56:50 +0000 2007,Chris Wage,290,en,"Nashville, TN",6422382
egraebs,Mon Mar 23 01:34:13 +0000 2015,emma,132,en,"Gales Ferry, CT",3104031085
ChristiannaJo,Tue Aug 03 20:14:57 +0000 2010,JoJo Evans,235,en,not given,174385249
MAGGIELETSON,Thu Jul 23 02:10:41 +0000 2015,m,182,en,not given,3288111572
Bromoish,Thu Aug 08 04:32:05 +0000 2013,Bromoish,255,en,"New York, USA",1654585453
_mmcgree_,Sat Jun 06 05:04:49 +0000 2015,Mati McGree,239,en,"Butte, MT",3237500802
allyadamssss,Fri Jul 31 23:17:17 +0000 2015,Al,570,en,not given,3302867377
lindseyhnystrom,Thu Nov 08 22:48:11 +0000 2012,lindsey,140,en,not given,935607822
joelask,Mon Nov 28 19:26:55 +0000 2011,Joe Lask,502,en,"Chicago,IL",423648209
chubbydogmemes,Thu Aug 04 04:36:39 +0000 2016,Chubbydogmemes,15,en,not given,761058241610514432
BaconatorUSAF,Tue Jul 20 22:17:24 +0000 2010,Nick Baker,350,en,USA,168830048
BlueBrawls,Thu Nov 12 21:06:44 +0000 2015,Blue,44,en,not given,4174026443
ThingsOnShelby,Sat Apr 26 02:18:14 +0000 2014,Things on My Dog,2,en,dms are open,2463938436
HayleyySmith,Sat Feb 28 19:52:57 +0000 2009,Hayley Smith,442,en,"Little Rock, AR",22288958
LouieJax,Fri Apr 15 10:35:23 +0000 2011,Louie,722,en,Surrey,282512118
_onikka_,Thu Oct 10 02:32:56 +0000 2013,8675309,274,en,san marvelous,1950637501
BrookeSagle,Sun Feb 10 01:41:56 +0000 2013,Brooke ☻,229,en,"Grand Rapids, MI",1164601926
KarlGAnderson,Sun Aug 22 23:16:48 +0000 2010,Karl Anderson,1069,en,"Minneapolis, MN",181738701
leahhmunsonn,Sun Jan 03 01:34:14 +0000 2016,LEATHAL WEAPON #2,371,en,"Detroit, MI",4699783645
matt___nelson,Tue Apr 08 23:00:56 +0000 2014,The Dogfather,193,en,snap: mattnelson-1,2434538047
kanskjenestegan,Thu Nov 24 11:46:29 +0000 2011,benjamin,227,en,"Melbourne, Victoria",420261247
acthomp17,Tue Feb 04 17:56:53 +0000 2014,Alayna,295,en,"Charleston, WV",2324385389
DominickCifelli,Mon Nov 21 21:21:30 +0000 2011,juul b2b pod,1654,en,not given,418182127
brellamorgs,Thu Dec 11 16:19:06 +0000 2014,bryn ❁,331,en,black lives matter,2915725635
charlatina,Mon Mar 16 15:19:27 +0000 2015,Charlotte,698,en,"Derbyshire, England",3092467738
baileytowns_,Sat Oct 20 00:37:36 +0000 2012,bailey,240,en,not given,892134066
maddieredford_,Sat Mar 12 18:31:06 +0000 2011,Maddie,1201,en,"Newcastle Upon Tyne, England",264941999
jbriepayne,Wed Dec 21 15:31:36 +0000 2011,Jenna Payne,217,en,not given,442881235
KatieNordeen,Sat Mar 06 01:18:22 +0000 2010,Katie Nordeen,934,en,"High Point, North Carolina",120293202
thegreenskies,Thu Jun 12 12:30:40 +0000 2014,Pat Rick,494,en,"Grand Rapids, MI",2563339699
SarahArcherM,Fri Mar 14 16:51:34 +0000 2014,Sarah Archer,9034,en,not given,2389461618
ajfletch11,Thu Nov 06 22:37:03 +0000 2014,Austin J. Fletcher,214,en,"Kansas, USA",2864660183
luawna,Sat Jul 03 20:10:00 +0000 2010,LUANA,390,en,"los angeles, ca",162480357
Kiyyweq,Fri Apr 26 12:10:07 +0000 2013,Mol,176,en,not given,1381780429
itsryanwalsh56,Sun Dec 15 00:17:53 +0000 2013,Ryan Walsh,206,en,"San Carlos, CA",2246344620
Mangovxid,Wed Jan 09 21:02:23 +0000 2013,Mangovoid,72,en,SJO,1074878994
emmahartsel,Tue Jan 27 12:28:40 +0000 2015,emma,303,en,not given,3001258101
estherjordinson,Sat Mar 17 21:16:46 +0000 2012,est,625,en,"Reading, England",527847891
ScottDautel,Tue Dec 04 12:53:37 +0000 2007,Scott Dautel,225,en,"Delaware, USA",10836692
amookietookie,Thu Jan 23 00:08:56 +0000 2014,Amy,223,en,North Carolina,2305655408
_mykaela_lynne,Tue Jan 29 21:51:53 +0000 2013,mykaela king,457,en,not given,1132221446
LinzAlyssa202,Sat May 26 03:18:16 +0000 2012,Lindsey Alyssa,248,en,"South Carolina, USA",590549002
shakira427,Mon Nov 26 20:55:33 +0000 2012,Kira Ryan,57,en,not given,972688974
SpellacyDan,Wed Jun 11 06:54:36 +0000 2014,Donny Spellakey🖲,86,en,Chalk Zone,2560776517
_dharv,Wed Aug 26 05:26:58 +0000 2009,Danielle,265,en,Jersey,68906858
BlueHogReport,Thu Apr 04 22:40:43 +0000 2013,Blue Hog Report,3179,en,"Little Rock, AR",1327956991
KelseyJoJo20,Sun Feb 26 22:17:26 +0000 2012,Kelsey Davis,401,en,not given,505072541
Salukis2,Tue Aug 07 14:01:21 +0000 2012,犬の切手と可愛い動物画像@bot,4108,ja,not given,742965882
STANKYLEGLOPEZ,Fri Jul 25 07:29:02 +0000 2014,stankdick,150,en,not given,2723914193
_audreyhd,Sun Mar 04 23:00:09 +0000 2012,audrey,314,en,not given,514860628
koreanfacekick,Tue Jul 03 06:06:55 +0000 2012,Yorkshire Kicker,85,en,Keighley,625304282
_audreyhd,Sun Mar 04 23:00:09 +0000 2012,audrey,314,en,not given,514860628
RogueGameplay,Tue Jan 29 22:29:34 +0000 2013,rcrogue,68,en,USA,1132294777
dakotasmith,Sun Jul 16 20:10:16 +0000 2006,Dakota LJ Ferguson Smith,1163,en,"Davis, CA",1546
TyEblen,Thu Jun 18 01:24:02 +0000 2009,Ty Eblen,1722,en,"Evansville, Indiana",48194353
CayleeErin12,Fri Oct 18 20:43:44 +0000 2013,Caylee Smith⛵️,586,en,cstat,1969512132
GregBaskwell,Sun Jun 14 01:56:23 +0000 2009,Greg Baskwell,313,en,"Charlotte, NC | Raleigh, NC",47009213
KarishmaWalia,Wed Jul 29 10:09:31 +0000 2009,Cynic Cynosure,449,en,"Gurgaon, India",61161671
PoorKaraoke,Sun May 04 16:44:50 +0000 2014,Poor Karaoke,325,en-gb,London,2477144227
JDKinniburgh_,Mon Apr 20 11:55:58 +0000 2009,Josh,336,en,"Manchester, England",33489513
cutesyapp,Wed Dec 10 21:41:55 +0000 2014,Cutesy,17,en,"San Francisco, CA",2926160684
vysheim,Mon Jun 09 01:55:44 +0000 2014,Vanessa hernandez,7,en,not given,2593694530
PlunkettPrime,Fri Apr 26 17:27:51 +0000 2013,r,283,en,🤡,1382451680
_doolicious,Wed Jul 10 02:17:16 +0000 2013,Rachel,90,en,"Maryland, USA",1581956202
vcav,Wed Dec 31 21:59:06 +0000 2008,vcav,1326,en,"Bay Ridge, Brooklyn",18517383
LisaBaller,Sun Dec 19 01:06:31 +0000 2010,plain jane,159,en,not given,228198012
Ben_Kirtland,Wed Nov 14 02:29:33 +0000 2012,Benjamin Kirtland,381,en,not given,946918508
amholla16,Thu Jul 05 01:07:57 +0000 2012,Andrea Holland,326,en,"Santander, Spain",627012645
breghazali,Sat Nov 05 19:55:33 +0000 2011,lil pistachio,289,en,Lebanese,405782554
Reece_Coupland,Mon Feb 27 16:38:16 +0000 2012,Reece,388,en,Spalding,506081639
Raj_z33,Mon Jun 27 07:11:47 +0000 2011,Raj Singh,318,en,"Chico, CA",324802203
R_Shoemaker97,Tue Sep 27 03:42:54 +0000 2011,Shoe,288,en,not given,380723672
emmafgriffin,Tue Jul 07 21:58:39 +0000 2015,Emma Griffin,300,en,not given,3271377397
Mtmannarino,Fri Jul 29 03:08:03 +0000 2011,M,91,en,"Nashville, TN",344463573
hollyrushakoff,Fri Jun 12 15:44:16 +0000 2009,Holly Rushakoff,2162,en,"Urbana, IL",46678368
YuriYurisky,Thu Feb 07 17:40:30 +0000 2013,Yuri Cortez,921,en,Mexico,1157796926
cay_howard,Sun Apr 15 17:37:04 +0000 2012,Cayla Howard,335,en,"Florida, USA",554593461
MSants17,Sat Jan 28 02:34:32 +0000 2012,Michael Lars Santee,88,en,not given,476382524
DesperateAnnie,Wed Feb 25 09:23:43 +0000 2009,Annie Morris,7145,en,"Kildare, Ireland",21849916
Salukis2,Tue Aug 07 14:01:21 +0000 2012,犬の切手と可愛い動物画像@bot,4108,ja,not given,742965882
lucyclaire17,Sun May 20 03:55:03 +0000 2012,Lucy,385,en,not given,585340561
zachjack_,Tue Mar 31 23:03:51 +0000 2009,Zach Smoroden,349,en,not given,27988177
kendallfreeman,Thu Mar 05 03:19:38 +0000 2009,Kendall Ann,738,en,not given,22872122
MelinaSophie,Tue Oct 01 17:39:27 +0000 2013,melina sophie,124,de,Ísland,1924076820
findingascia,Thu May 06 21:26:13 +0000 2010,~ ascia ~,825,en,Los Angeles,140974996
Derektionary,Sat Apr 20 05:59:40 +0000 2013,Derek Orr,170,en,"Pittsburgh, PA",1366290577
annanotbananna,Sat Feb 07 21:07:11 +0000 2015,Anna Lovel,37,en,not given,3012766039
briellewestwood,Mon Aug 13 01:33:09 +0000 2012,Brielle,536,en,not given,754157582
RelicAlshain,Sun Mar 07 16:28:12 +0000 2010,Moonlapse Vertigo,141,fr,not given,120808514
Lee4abitz,Tue Sep 20 19:35:24 +0000 2011,Austin Abitz,134,en,"Lawrence, Kansas",376954750
briannabianca_,Sun Nov 17 05:14:11 +0000 2013,bri,114,en,not given,2198949432
GabbyHalle,Fri Feb 05 21:03:01 +0000 2010,Gabby Halle,172,en,not given,111693838
OhMyGod_B3CKY,Fri Feb 24 01:06:48 +0000 2012,Becky🐝,371,en,Wisconsin,501317858
joannadelrey,Sun Dec 25 13:49:27 +0000 2011,jo,728,en,@lanadelrey,446254728
mabry_sam,Fri May 23 13:27:05 +0000 2014,Sam Mabry,447,en,not given,2560271217
kace_monster,Thu Nov 25 16:02:55 +0000 2010,kacey.,450,en,indy,219692110
jk_rowling,Mon Aug 03 13:23:45 +0000 2009,J.K. Rowling,628,en,Scotland,62513246
DNesbi,Mon Oct 28 21:41:24 +0000 2013,Superfly13,125,en,not given,2157773235
avxlanche,Mon May 13 14:15:38 +0000 2013,sword,357,en,"Virginia Beach, VA",1425581874
KitchenDAT_ATC,Sat Feb 21 02:55:19 +0000 2015,Addam Kitchen ATC,398,en,"Cincinnati, OH",3048560530
fleetway98,Fri Oct 05 03:03:58 +0000 2012,EndMinX90,349,en,"California, USA",862431007
asalsbur,Sat Jan 12 15:10:15 +0000 2013,Alexa Salsbury,208,en,"Blacksburg, VA",1083237414
MiamiButter,Sun Sep 11 19:18:10 +0000 2016,Butter Blake,23,en,"Miramar, FL",775050822723874816
fwitter_usage,Sun Mar 20 15:14:13 +0000 2016,Sara,58,en,not given,711571551800434688
RaquelRomano728,Fri Mar 23 01:28:13 +0000 2012,Raquel Romano,332,en,Southington||Willimantic,533814054
peakwithme,Mon Jul 20 20:10:44 +0000 2015,Peak With Me,621,en,"Las Vegas, NV",3384963088
SallyRuthRose,Sun Apr 29 03:55:27 +0000 2012,Sally,380,en,not given,566041986
madii_h_,Wed Aug 31 17:34:30 +0000 2016,Madi H.,33,en,"Oceanside, CA",771038466767396864
kadrian_15,Thu Apr 17 11:49:40 +0000 2014,Kelli Adrian,68,en,not given,2449586958
Seerenity_b,Fri Nov 22 02:01:55 +0000 2013,mardy bum,249,en,not given,2208143516
emiIybetts,Tue Jun 09 00:18:40 +0000 2009,courts ✨,842,en,lyatt / deckerstar / olicity,45713668
_kmt15,Sun Aug 26 23:54:55 +0000 2012,LittleOptiMess,569,en,the sandlot,783426745
gaudz28,Tue Nov 24 13:08:14 +0000 2009,Nick Gaudio,418,en,"Adelaide, Australia",92268300
kenzieann_97,Mon Jan 09 22:49:09 +0000 2012,McKenzie Davidson,245,en,Louisiana ,459669064
JennaDelPozzo,Tue Jun 19 20:42:56 +0000 2012,Jenna Del Pozzo,245,en,"Phoenix, AZ",612843995
TyParkerS,Sat Jul 07 04:23:29 +0000 2012,ty parker,101,en,"New Orleans, LA",628998004
krista_thomas,Sun Dec 30 07:11:05 +0000 2012,Krista Thomas,318,en,Sydney,1047098184
KendahlHahn,Wed Jun 16 20:16:06 +0000 2010,Kendahl Hahn,380,en,"Flower Mound, TX",156384370
lucycol4,Sun Oct 30 21:30:02 +0000 2016,Lucy Collinson,25,en,not given,792841012913721344
SCarpenter_15,Thu Dec 29 20:47:57 +0000 2011,Savannah,426,en,not given,450065456
corrine_16,Mon Feb 20 14:40:31 +0000 2012,corrine,693,en,not given,497942950
malloryhladik,Sat Nov 10 23:44:26 +0000 2012,Mal🎃,406,en,not given,940177788
nattig,Fri Feb 13 15:23:58 +0000 2009,natti glover,133,en,"ware, hertfordshire",20777471
JoannePistonFan,Wed Apr 22 02:30:30 +0000 2009,JPF,599,en,not given,34148664
leaderkreeder,Sun Mar 13 04:05:58 +0000 2016,Kreeder,196,en,not given,708866665857966080
agrumpybackpack,Wed Oct 26 20:42:35 +0000 2016,Life of Backpack,1313,en,Some guy's back,791379520305532928
xNellyBelly,Tue Feb 28 02:03:11 +0000 2012,Emanuellee🌸,856,en,not given,506719093
Joshstram,Tue Nov 12 22:27:06 +0000 2013,"Josh, Loa of Corgis",283,en,Central FL,2191159249
sammcmanusss,Tue Dec 27 13:08:50 +0000 2011,sam,756,en,not given,447959363
melinarushton,Mon Jun 29 17:13:45 +0000 2015,mel ❣️,229,en,not given,3260073606
alliecstud,Sat Jun 21 19:46:35 +0000 2014,allie💛💜,1104,en,not given,2580948404
Shadowthewestie,Fri Jul 10 00:54:12 +0000 2015,OwenTheWestiePup,144,en,"Minneapolis, MN",3273514086
Acidgrim777,Thu Nov 10 22:38:51 +0000 2016,Acidgrim,27,es,not given,796844597091581952
nick_rayy,Tue Mar 26 02:09:16 +0000 2013,Nick,194,en,not given,1302009956
DrScytheMusic,Sun Sep 20 14:33:20 +0000 2009,DrScythe,211,en,"Earth, Milky Way, Universe, ?",75797173
wantlessblog,Sat Jun 06 10:29:18 +0000 2015,Claire WantLess,903,en,United Kingdom,3310417001
TheSuzannahLee,Mon Mar 04 00:46:31 +0000 2013,Chocolate Hawk,69,en,"Brooklyn, NY",1240167234
PRlNCESSEMMA,Mon Jun 18 23:30:50 +0000 2012,emma,316,en,"Portland, OR",612175389
alexbasham_,Tue Feb 24 17:57:01 +0000 2015,alex b.,274,en,"Kentucky, USA",3059678764
aidannn_b,Sun Aug 10 00:35:32 +0000 2014,aidan ballesteros,245,en,not given,2738608684
chefconaway,Wed Aug 06 05:38:18 +0000 2008,Zach Conaway,289,en,"Los Angeles, CA",15746603
AutumnJade10,Mon May 07 00:40:07 +0000 2012,Autumn Hinote,356,en,"Auburn, AL",573233742
ml10e,Fri Nov 26 13:19:29 +0000 2010,michelle,165,en,not given,219988997
jengolbeck,Thu Feb 25 21:41:03 +0000 2010,Dr. Jen Golbeck,361,en,"College Park, MD",117539435
patronusblue,Wed Jan 11 19:59:31 +0000 2012,Abbie ⚡️💛,550,en,Colorado,461426677
LoNicole13,Sun Aug 07 23:44:49 +0000 2011,LoNicole,90,en,not given,350555760
annaclairer01,Thu Nov 06 02:41:52 +0000 2014,Anna,144,en,not given,2891573546
RadReuben,Thu Feb 11 04:55:28 +0000 2016,uǝqnǝᴚ,197,en,"Hemet, CA",4891076892
carlysodunn,Mon Jul 02 03:20:04 +0000 2012,carly,1543,en,ig: carlysodunn,624396135
AdmirableNelson,Thu Jul 01 06:37:14 +0000 2010,Jeff Nelson,121,en,"Denver, CO",161589092
MSU_Football,Mon Apr 20 17:19:42 +0000 2009,Michigan State Football,626,en,"East Lansing, Mich.",33587536
Timbertyphoon,Thu Mar 05 01:17:15 +0000 2009,Terrifically Tasseled Timbehr @ Feral!,265,en,"San Francisco, CA",22858715
taniadelrio,Wed Jun 17 17:20:38 +0000 2009,Tania del Rio,767,en,"Pasadena, CA",48036658
JPatRich_2,Mon Apr 13 16:36:33 +0000 2009,John P. Richards II,187,en,OKC,30898396
Rach_houston,Wed Jul 01 15:48:17 +0000 2009,Rach Houston,361,en,"Rockford, IL.",52760617
JPatRich_2,Mon Apr 13 16:36:33 +0000 2009,John P. Richards II,187,en,OKC,30898396
daang12,Sat Feb 26 03:52:54 +0000 2011,viet goddess,410,en,tex-ass ,257769717
Lauren_Arrabito,Sat Jan 16 23:35:00 +0000 2010,lauren,347,en,FL,105624251
ally_maclaine,Mon Feb 04 01:46:02 +0000 2013,Ally MacLaine,463,en,"Zanesville, OH",1146728964
benoonbenoon,Mon Apr 14 10:34:10 +0000 2008,Paul Bennun,805,en, 🇪🇺 ➡️ 🇺🇸,14383556
donthityourbro,Sat Jun 25 16:42:16 +0000 2016,Mo,4306,en,Here.,746745333082791936
tiedye_princess,Sat Jan 05 06:17:58 +0000 2013,ฅ^•ﻌ•^ฅ,379,en,"Nashville, TN",1062302384
